DESCRIPTION,FAMILY_ID,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir
OG0000745,650,4,5,4,2
OG0000746,651,7,6,2,4
OG0000747,652,4,2,1,10
OG0000748,653,2,2,1,14
OG0000749,654,1,3,3,3
OG0000750,655,5,5,3,3
OG0000751,656,10,3,2,2
OG0000752,657,5,8,3,3
OG0000753,658,1,3,2,13
OG0000754,659,3,5,2,6
OG0000755,660,3,10,3,1
OG0000756,661,2,1,1,14
OG0000757,662,10,5,1,3
OG0000758,663,1,2,2,14
OG0000759,664,3,3,3,4
OG0000760,665,3,3,4,1
OG0000762,666,6,3,7,2
OG0000763,667,5,6,4,4
OG0000764,668,3,4,4,8
OG0000765,669,3,5,4,7
OG0000766,670,3,7,3,3
OG0000767,671,5,3,4,3
OG0000768,672,3,8,4,3
OG0000769,673,2,4,4,1
OG0000770,674,8,5,1,2
OG0000771,675,1,1,1,11
OG0000772,676,9,1,1,2
OG0000773,677,3,4,6,6
OG0000774,678,1,7,5,2
OG0000775,679,5,5,1,7
OG0000776,680,4,3,1,1
OG0000777,681,3,3,4,9
OG0000778,682,6,9,0,3
OG0000779,683,2,7,0,4
OG0000782,684,2,8,0,2
OG0000787,685,2,2,3,1
OG0000788,686,4,3,9,1
OG0000789,687,4,5,4,2
OG0000790,688,6,2,2,1
OG0000791,689,5,1,9,1
OG0000792,690,5,3,4,2
OG0000793,691,1,6,1,2
OG0000795,692,7,2,3,1
OG0000797,693,4,1,3,3
OG0000798,694,1,4,8,5
OG0000799,695,1,5,3,1
OG0000801,696,4,7,2,4
OG0000802,697,2,2,3,3
OG0000803,698,1,2,1,4
OG0000804,699,3,7,2,3
OG0000805,700,3,4,3,1
OG0000806,701,6,7,2,3
OG0000808,702,0,10,3,1
OG0000810,703,8,6,2,2
OG0000811,704,7,3,3,2
OG0000812,705,11,1,1,1
OG0000813,706,7,4,5,2
OG0000814,707,1,1,9,5
OG0000815,708,1,4,3,1
OG0000816,709,0,4,6,1
OG0000817,710,0,9,4,2
OG0000818,711,3,3,2,1
OG0000819,712,1,10,2,1
OG0000820,713,6,7,1,3
OG0000821,714,2,3,1,9
OG0000822,715,5,5,3,4
OG0000823,716,1,1,2,1
OG0000824,717,1,2,9,1
OG0000825,718,5,0,7,1
OG0000826,719,8,4,1,5
OG0000827,720,1,5,4,2
OG0000828,721,5,1,4,4
OG0000830,722,3,2,2,1
OG0000831,723,6,2,3,2
OG0000832,724,2,0,1,13
OG0000833,725,4,4,7,3
OG0000834,726,3,3,4,4
OG0000835,727,3,5,5,5
OG0000836,728,8,4,2,2
OG0000837,729,0,6,2,6
OG0000838,730,1,1,1,1
OG0000839,731,2,2,3,9
OG0000840,732,12,4,1,1
OG0000841,733,1,1,1,9
OG0000842,734,6,4,5,3
OG0000843,735,2,6,5,4
OG0000844,736,3,8,6,1
OG0000845,737,2,3,2,8
OG0000846,738,5,5,4,2
OG0000847,739,6,7,2,3
OG0000848,740,1,2,1,2
OG0000849,741,10,2,3,1
OG0000850,742,7,1,3,7
OG0000851,743,4,2,4,8
OG0000852,744,8,6,3,1
OG0000853,745,6,2,4,5
OG0000854,746,5,7,2,4
OG0000855,747,3,6,4,3
OG0000856,748,7,5,3,3
OG0000857,749,5,3,3,7
OG0000859,750,6,6,5,1
OG0000860,751,0,9,1,2
OG0000861,752,5,4,3,2
OG0000862,753,1,15,1,1
OG0000863,754,2,9,2,5
OG0000864,755,5,3,2,8
OG0000865,756,3,6,1,8
OG0000866,757,7,4,1,1
OG0000867,758,6,6,2,4
OG0000868,759,6,10,1,1
OG0000869,760,8,2,2,6
OG0000870,761,4,0,3,2
OG0000871,762,2,1,1,1
OG0000873,763,0,1,0,10
OG0000875,764,1,2,0,11
OG0000877,765,1,7,0,1
OG0000878,766,5,1,5,2
OG0000879,767,6,3,3,1
OG0000880,768,1,7,3,1
OG0000881,769,8,4,1,1
OG0000882,770,7,4,1,1
OG0000883,771,1,1,8,1
OG0000884,772,4,1,3,4
OG0000885,773,2,1,3,3
OG0000886,774,4,1,3,8
OG0000887,775,8,4,3,1
OG0000888,776,1,10,1,1
OG0000889,777,8,0,5,3
OG0000890,778,5,7,4,1
OG0000891,779,3,2,5,1
OG0000892,780,5,0,2,5
OG0000893,781,2,7,2,1
OG0000894,782,8,2,1,1
OG0000895,783,7,5,3,2
OG0000896,784,0,1,2,13
OG0000897,785,3,6,3,1
OG0000898,786,5,5,6,1
OG0000899,787,3,3,1,2
OG0000900,788,1,11,3,1
OG0000901,789,9,0,1,3
OG0000902,790,4,4,4,5
OG0000903,791,3,4,8,1
OG0000905,792,5,1,5,4
OG0000907,793,1,4,1,5
OG0000908,794,0,2,2,11
OG0000909,795,3,2,3,9
OG0000910,796,2,2,1,10
OG0000911,797,6,2,1,1
OG0000912,798,9,2,2,2
OG0000914,799,3,3,2,7
OG0000915,800,2,3,6,3
OG0000916,801,4,5,5,3
OG0000917,802,1,5,1,2
OG0000918,803,1,2,2,10
OG0000919,804,8,2,5,2
OG0000920,805,7,5,2,1
OG0000921,806,3,8,2,1
OG0000922,807,4,3,3,2
OG0000923,808,2,7,1,7
OG0000924,809,5,5,4,1
OG0000925,810,1,2,5,1
OG0000926,811,3,4,6,1
OG0000927,812,2,5,4,1
OG0000928,813,1,6,1,1
OG0000929,814,2,1,4,2
OG0000930,815,1,4,4,1
OG0000932,816,8,1,2,1
OG0000933,817,1,1,1,5
OG0000934,818,8,1,6,2
OG0000936,819,2,2,5,2
OG0000937,820,0,7,1,4
OG0000938,821,1,8,2,1
OG0000939,822,6,5,1,5
OG0000940,823,5,4,5,3
OG0000942,824,1,8,2,2
OG0000943,825,5,5,1,1
OG0000944,826,5,1,5,3
OG0000945,827,2,1,1,6
OG0000946,828,4,3,5,3
OG0000947,829,5,5,4,3
OG0000948,830,3,6,1,6
OG0000949,831,2,3,1,8
OG0000950,832,4,5,2,6
OG0000951,833,3,7,3,2
OG0000952,834,6,4,2,5
OG0000953,835,2,5,3,3
OG0000954,836,5,5,3,4
OG0000955,837,3,6,2,5
OG0000956,838,8,5,2,2
OG0000957,839,4,5,2,5
OG0000958,840,3,6,2,2
OG0000959,841,4,5,4,4
OG0000960,842,1,9,3,3
OG0000961,843,3,5,3,1
OG0000962,844,5,3,3,3
OG0000963,845,7,6,1,3
OG0000964,846,4,3,4,6
OG0000965,847,3,4,4,5
OG0000966,848,2,4,6,4
OG0000967,849,3,0,1,1
OG0000968,850,6,4,3,4
OG0000969,851,1,0,1,7
OG0000970,852,3,1,9,4
OG0000971,853,2,3,1,3
OG0000972,854,5,3,5,4
OG0000973,855,3,5,3,3
OG0000974,856,1,12,2,2
OG0000976,857,2,4,0,2
OG0000977,858,0,7,0,1
OG0000978,859,2,6,0,1
OG0000979,860,0,4,0,1
OG0000980,861,5,5,0,1
OG0000981,862,3,9,0,4
OG0000982,863,1,3,0,11
OG0000983,864,2,7,0,2
OG0000987,867,3,5,3,1
