DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0000784,271,2,7,5,7,5,10,5,3,3,3,5,2,6,9,2,3
OG0000786,272,5,3,3,3,5,6,6,5,6,5,7,3,7,5,6,1
OG0000787,273,6,4,5,5,4,8,5,6,6,6,10,6,5,4,5,4
OG0000788,274,3,2,2,2,3,3,3,3,3,3,4,8,11,8,7,4
OG0000789,275,3,6,4,4,6,7,9,9,11,8,9,2,2,2,2,3
OG0000790,276,5,4,4,4,7,7,5,5,5,4,6,1,3,2,3,2
OG0000791,277,7,2,7,7,10,9,2,4,6,5,1,2,2,2,1,2
OG0000793,278,3,4,4,3,5,9,7,10,7,7,6,1,1,2,1,10
OG0000795,279,5,6,6,6,8,10,6,6,6,6,7,3,4,4,5,0
OG0000797,280,4,5,5,5,11,9,5,6,5,2,9,2,4,5,7,3
OG0000798,281,4,4,6,2,4,8,6,6,6,6,9,7,4,5,6,2
OG0000799,282,4,3,4,4,7,7,2,3,3,2,10,10,4,3,13,6
OG0000805,283,7,4,5,6,9,7,3,4,4,5,11,5,4,4,4,1
OG0000806,284,4,4,4,5,6,7,3,3,3,3,10,4,6,4,6,4
OG0000807,285,2,6,7,3,2,5,7,12,9,15,3,2,3,2,0,4
OG0000808,286,6,4,3,3,3,10,6,5,8,8,3,4,4,2,4,1
OG0000809,287,6,3,3,2,4,3,5,5,6,5,2,9,14,5,9,3
OG0000810,288,4,4,3,4,6,6,6,5,4,5,6,2,2,2,2,4
OG0000811,289,6,4,3,4,7,5,5,5,3,4,9,3,6,5,11,4
OG0000812,290,4,5,5,5,7,7,4,5,6,6,12,3,3,2,2,3
OG0000813,291,7,5,6,4,10,7,4,4,4,4,10,3,4,3,4,2
OG0000814,292,4,7,7,4,9,6,4,5,4,4,7,2,4,4,1,4
OG0000815,293,7,5,3,5,9,7,3,2,3,2,5,7,2,4,5,5
OG0000816,294,8,7,3,2,4,13,5,7,7,5,2,3,8,5,5,3
OG0000817,295,3,4,4,3,6,5,5,5,5,5,9,6,7,6,5,3
OG0000822,296,6,6,5,4,9,10,5,6,6,6,12,1,3,3,3,2
OG0000824,297,5,3,6,4,5,6,4,4,4,4,7,5,4,3,4,5
OG0000825,298,2,2,2,2,3,4,4,3,4,2,8,5,12,6,8,0
OG0000826,299,4,4,4,3,6,7,4,4,5,5,7,6,6,5,5,0
OG0000827,300,3,3,1,2,5,4,13,10,16,12,6,1,0,6,2,2
OG0000828,301,1,3,2,3,5,3,7,3,8,7,3,1,14,10,8,2
OG0000833,302,10,4,4,4,6,9,5,6,6,7,8,6,2,1,2,2
OG0000834,303,3,4,4,4,6,8,4,4,5,5,9,5,3,6,6,3
OG0000835,304,5,3,4,2,5,6,3,4,3,3,6,9,4,3,3,3
OG0000836,305,7,5,5,5,7,8,6,6,6,6,9,2,4,3,3,2
OG0000837,306,8,5,5,5,7,10,2,2,2,2,4,10,12,7,5,0
OG0000838,307,6,4,4,4,6,6,7,6,6,5,6,3,5,4,4,4
OG0000839,308,5,6,5,5,8,9,5,5,5,4,10,6,2,3,2,3
OG0000840,309,11,5,8,6,8,11,4,4,4,4,11,2,2,2,2,0
OG0000841,310,2,2,5,7,8,12,5,5,5,5,5,8,2,4,2,1
OG0000842,311,6,6,6,5,8,8,2,3,3,4,8,2,6,3,4,6
OG0000844,312,2,4,2,3,4,5,6,5,6,6,4,8,5,5,9,6
OG0000847,313,10,4,3,3,3,6,5,5,6,6,6,4,1,3,1,4
OG0000848,314,5,5,6,5,8,7,5,3,5,5,8,2,1,5,5,5
OG0000849,315,6,4,4,4,4,7,6,7,7,6,7,1,3,1,2,5
